field,raw,norm
name,тарелка,тарелка
name,изразец,изразец
name,блюдце,тарелка
name,крышка,крышка
name,миска,тарелка
name,плитка,изразец
name,игрушка,игрушка
name,игрушка ёлочная,игрушка
name,миска (?),тарелка
name,тарелка/блюдо,тарелка
material,керамика,керамика
material,фаянс,керамика
material,фарфор,керамика
material,глина,керамика
material,красноглиняная керамика,керамика
material,белоглиняная керамика,керамика
material,светлоглиняная керамика,керамика
material,серолощеная керамика,керамика
material,каменная масса,керамика
material,стекло,стекло
material,металл,металл
material,белый металл,металл
material,бронза,металл
material,дерево,органика
material,камень,камень
material,песчаник,камень
material,сланец,камень
material,гранит,камень
fragm,фрагмент,фрагмент
fragm,целый,целый
fragm,фр.,фрагмент
fragm,фр,фрагмент
fragm,обломок,фрагмент
fragm,фрагмент предмета,фрагмент
fragm,целый предмет,целый
fragm,целое,целый
fragm,полный,целый
fragm,реставрирован,целый
fragm,неполный,фрагмент
